30410,LA,Leslie Johnson,VMDp2MonM8Tvfxvhx5kQRAul4MSavcU3Vv8Uy76EHJ0wIVpCfeeEAyZGpQVWW5qbCkTAcIQ2Kba58lvwoKk8q18tzzhjhIyOfUsoxam6X99o1ZNl2PmkdYikKJrZ,1981-11-09,8:10:17,2004-08-14 1:31:56,54.4514729294,P21Y5M25DT1H27M1S,P9Y10M9DT9H12M36S,false
37420,HI,Clarence Kania,1dREnQgIPic,1944-03-13,15:28:43,1975-04-18 2:36:27,49.8493609383,P26Y6M29DT9H48M42S,P25Y11M22DT7H5M1S,false
58583,HI,Cynthia Smith,7HAqpXK03jVcqg8eQyYgjKtguzpki3UtiLCX51JPa4VOlxzhAJE0rDbp,2003-06-18,9:46:53,1940-02-27 8:53:58,41.0176527556,P18Y5M20DT7H18M37S,P23Y10M25DT2H56M32S,false
26782,NE,Lisa Jackola,K3IIlXcl3OKArteBTwr0Bc8ISxrWcDWheMs7PsiOOMgfrOAEvIXcPbeH2MV23vl0xFNmhqpE1kU6pYIRNWt5pxmphtmFxlp4TEnvfFtRBV2uFSQHSnL834AINYCDbBXIaRqNZ2bOWVBK2s1JTJVbsFHHwX2y6cWduX3RL2ioyun1hSmj99CvW,1988-09-30,2:35:55,1986-12-20 18:37:32,70.0214821823,P6Y11M10DT9H1M41S,P18Y2M22DT8H45M59S,true
46631,KY,Mary Clark,c9nz6BKm2lfdoIbRQdRgcrYlNCllusuvRlpyudAEwamLL6pd4iioWPEzd7aGQwO8spGCH6m4IfygLtbGe6iK2Ufa3pLH0puRh3Gvm3SEruxPA4vpzMz0hsi0s4GFSXkIHYoeoiPKtUkvF7ak7zJ3YPsqqVtFCqlnDNVvs4PR8kAYToI,2002-08-31,16:7:20,2016-06-30 12:28:33,54.4970508353,P6Y12M11DT2H50M49S,P20Y10M17DT12H48M14S,true
7704,CO,Janet Brewer,WbAkYLwwOiuPtSzDKBIwqObOQ8N4qKV8ochzp3MjnYWO4ilmae69JF34qEt4HbdVr3rDjw0cGXcR4MNTpWD7N0lsGgru2hfy3FLrP5yCPz3usTZpsrfTSeeilb3Sspi3l4eoz6npOBmYNjeC5zhCXULQWo9DyRROpJfmzJwfLvTC,1999-04-11,17:48:30,1989-10-21 13:18:36,79.3767679007,P24Y5M23DT8H35M38S,P11Y12M5DT6H22M48S,false
7533,AL,Richard Whisenant,y0jKcsz7wwWRyGGJ0RdxbY5guks5ClagBqu6KA83TUlvljJfLAjLxSTjzZQqHpBR4HxllXKr5gJD1VZOxluFwHxkgFu3HHlsmnmYnB4f4zNUryQjaz3Ejb2zwX0mT3yg4koSFo1Tfwshkn5Ts7hhySEy4BHBqRRSAyGlFGJuDMRO9xbpKK1mOZ5yJsrPusjjiIi8l4T2BgSeBkqihkmVTbosH7uTWhXW2,1952-12-24,8:51:37,1999-11-27 15:49:55,31.899358826,P19Y10M24DT11H15M34S,P12Y8M19DT1H29M8S,false
34718,NY,David Massman,ylmLZw1Su3WG21KPiR0UNIfssYWj63O4XQ2nRke1Dl7YG0DwqOoE5ndcMM2j2FpuM1FjzjGXAve9jx3OqEqT5j4TXv6,1947-12-11,9:16:6,1970-03-12 13:43:58,88.6185164633,P2Y7M21DT4H37M13S,P4Y7M5DT12H54M34S,true
38168,PA,Marvin Ramirez,5Zw1DpeCKdjfKKnG8fZbB6aHZOek8VrySh7CKGvAhgYUCRywtsH1v8LwmiZoPHEOXSvDhLEcoBZUtQbQ8VO1L2LBN6Ss4e7EZSBNLzJf7259TXebAneHJOI4QWmKytArgkxb9U0nepyTXSB3YWAnuKGQyKui9ap5HAi7kIVocOxcr9kVAy6Gz7z6TBLbHDgJQ05trMKHumkq2uD7DqFmtAMdqq58xNl,1996-02-06,20:9:43,2003-10-19 12:17:52,82.8830906331,P25Y11M16DT6H43M50S,P20Y9M5DT2H5M2S,true
57077,MN,Vera Thomas,cI0rbX2jnGtGdyyaL8K5nrWa9pcABDULWtfjahkZTeNeERLnNRn47MQKMcEY847nO13JSlvQLyX6dtSswATpGwIYQOxWVsNWuGnHo2yRwpfLaiYBiZv0OFX254rqu9q0hL3Wg8sd2wIGYt2DgXUgLs9XB2Rc0swAlp9rgdrMNaJMt7NXKnalYXhv4gtSCyzP9YQ6HVwr1McuLj5Ia254v8MbUazwLuKB,1980-05-22,20:38:7,1972-04-03 9:7:29,46.9887118682,P3Y6M18DT9H27M26S,P19Y10M15DT9H9M47S,true
52608,NC,Joseph Miller,jAWhKJJbXRGK99YryBqk38VJQyMPthHiAhkQEJOgyl02d3fWqZhITenW7W65WUE5pey1dgPwcC2xAIiQ58tS6yvFbCEdx0eLB6ZukKxo1NXBOR9,1971-01-17,3:51:17,1970-01-23 3:49:43,46.0353022091,P21Y5M8DT3H18M2S,P5Y8M5DT5H45M46S,false
19810,ID,Blanca Sherman,U518fLLqNB4qUcGz3rbinifVFly4OjxWGG4qaCFsu,1968-08-14,22:1:39,2015-04-28 3:49:41,63.2965151703,P29Y12M4DT11H27M43S,P1Y4M16DT12H5M51S,true
41154,TN,Vincent Vincent,Grt1imFIFCCOCPMRhndbkeDeJazOiKKbrWcH4vEOLGLMrmYxk5WVn79REBRWKqby9s4tFhT3eC2VOXilNs3CjXGF6xjGzuJlLRYGw,1955-10-07,10:34:51,1952-06-25 3:10:47,43.7448871975,P22Y7M19DT9H46M45S,P13Y8M1DT8H54M56S,false
35618,TX,Kimberly Mccalpane,KlPP6mDksGos7MmLds7RUlZyNUbsqdHXoi40OTsIdMk5dM6mbAfc37LS3VeuHI8b3pij3oGNVotTx5v4wN6qaO65PV4je3sje2QMZmMv7gOKyfLvSsAazuIGmsKOF1Bmw,1951-06-13,20:40:11,1989-03-13 17:23:22,66.5291931665,P19Y4M12DT2H24M14S,P23Y2M20DT4H32M35S,false
33436,MN,William West,QolBIoTqVA6erCDMDEVCG4bC33FLpSUr,1984-09-15,3:43:58,2002-07-02 3:57:3,44.4106537755,P26Y10M24DT8H59M4S,P7Y2M15DT6H12M9S,true
