IL304488381660192170587,451237400,-3477884857818808320,2294375915.0803,5118777258.3216,6494551524.5199,2015-01-21,18:21:06,,true,1032.65157,1032.65157,1032.65157,1032.65157
LT592336494976983587,51237400,0,8342571835.9649,4319548839.7032,8045215494.9307,2015-03-05,13:35:54,,true,1057.31174,1057.31174,1057.31174,1057.31174
GL3560004189127588,51237400,0,6656620535.0682,7428388791.1588,8461469039.3209,2015-02-12,05:17:11,,true,1090.82987,1090.82987,1090.82987,1090.82987
AD9548262941533478801521,51237400,4465148082249531392,7533748480.4913,7033412149.1760,,2015-04-23,08:13:16,2014-03-16 03:55:21,true,1102.85484,1102.85484,1102.85484,1102.85484
EE458231594807348719,-691523338,4465148082249531392,4710764451.8837,7212781249.5455,,2015-03-11,04:15:45,2014-02-13 15:47:22,true,1150.87954,1150.87954,1150.87954,1150.87954
HR0686098344711515046,-1843395360,-3999734748766273536,2159529724.1584,4904935401.8644,922457729.4663,2015-01-29,18:21:06,2014-01-14 03:31:27,true,1199.65019,1199.65019,1199.65019,1199.65019
SK7242022968886166147872,1095015454,0,6783137754.5371,319946766.8310,2658396540.2097,2015-02-27,17:00:45,2014-09-27 17:35:21,true,1238.45368,1238.45368,1238.45368,1238.45368
AD1356398178362442237276,-48817354,-449093763428515840,8734975722.6184,7640160759.9109,3068494694.3075,2015-03-03,10:57:58,2014-01-17 16:14:25,true,1248.02051,1248.02051,1248.02051,1248.02051
PS679886827398500950245077238,59892266,-1825551161692782592,6936984565.1090,8487893631.6818,,2015-04-01,04:45:20,2014-04-23 05:08:34,true,1279.52922,1279.52922,1279.52922,1279.52922
DK2127196735310326,-827965492,-7308685202664980480,2853737827.3905,9292074353.4341,,2015-04-03,18:21:06,2014-06-21 07:29:12,true,1299.52051,1299.52051,1299.52051,1299.52051
DK2127196735310326,-1281245980,-6772904422084182016,6783137754.5371,7139207655.5639,,2015-04-09,07:28:15,2014-10-25 15:49:46,true,1314.93896,1314.93896,1314.93896,1314.93896
DK2127196735310326,-328967052,0,3515404453.5011,6783137754.5371,450677946.2100,2015-04-21,16:41:28,,true,1374.45062,1374.45062,1374.45062,1374.45062
CZ4160619138262157233495,51237400,-6261135635424215040,9684102465.3986,2961382428.1842,,2015-04-19,17:47:53,,true,1436.74486,1436.74486,1436.74486,1436.74486
AZ84681180042124655037766389,-1778510302,0,9969281265.5121,9401654563.8442,4882153244.6891,2015-01-21,22:34:57,2014-07-31 04:11:53,true,1439.53022,1439.53022,1439.53022,1439.53022
DK2127196735310326,1346460386,0,2190326638.5198,6435418939.2179,4882153244.6891,2015-02-09,15:36:30,2014-07-31 04:11:53,true,1494.21909,1494.21909,1494.21909,1494.21909
PS767230482405111627501858627,1570558920,0,375415226.4446,5816207523.4577,4882153244.6891,2015-01-25,16:54:33,2014-07-31 04:11:53,true,1532.66734,1532.66734,1532.66734,1532.66734
NO8126282771419,629495208,-2424523650070740992,9603916704.6546,6600418863.8180,4882153244.6891,2015-04-08,18:21:06,2014-07-31 04:11:53,true,1557.1702,1557.1702,1557.1702,1557.1702
PT73058659574464943071664,-1235790430,4465148082249531392,6783137754.5371,3053509150.6317,3746002824.0457,2015-02-22,06:31:11,2014-07-31 04:11:53,true,1575.59376,1575.59376,1575.59376,1575.59376
IL115224390443134176470,2111949708,-2781829109070692352,2339277821.5930,6780382571.7419,468644639.4772,,05:18:19,2014-07-31 04:11:53,true,1620.04286,1620.04286,1620.04286,1620.04286
CZ6344451443133447240655,-839989752,0,7612463389.5233,8917697658.7623,3385456218.3842,2015-03-31,04:30:37,2014-06-11 02:59:19,true,1650.31873,1650.31873,1650.31873,1650.31873
,702413298,0,4723336198.3672,711029940.2848,8769712797.3660,2015-03-30,16:18:34,2014-12-30 07:04:27,true,1696.26707,1696.26707,1696.26707,1696.26707
HU73474347872893940832674541,-424385206,1687282746956709888,8283567484.4682,9663729881.8677,5216010971.9262,2015-04-11,12:55:18,2014-07-16 19:17:13,true,1740.89081,1740.89081,1740.89081,1740.89081
BE93417138537786,-1563638638,-2561061038367703040,-6063450425.8633,1159126712.0093,9256616919.3014,2015-01-07,14:40:29,2014-07-16 19:17:13,true,1749.91977,1749.91977,1749.91977,1749.91977
DK2127196735310326,51237400,0,4267048211.7683,-6063450425.8633,8628624458.7972,2015-04-14,20:02:04,2014-07-16 19:17:13,true,1803.01624,1803.01624,1803.01624,1803.01624
DK2127196735310326,849185256,0,5075159729.4584,-6063450425.8633,4731076252.6467,2015-01-09,04:48:37,2014-08-07 22:42:31,true,1871.2936,1871.2936,1871.2936,1871.2936
IE07WDPM67413918130193,1188695462,-2035719734145581056,9371218006.1265,3763012122.3629,1074676094.5768,2015-02-25,23:11:12,2014-12-08 06:24:18,true,1938.69205,1938.69205,1938.69205,1938.69205
DE13594209625141100749,-2090721582,0,9899509367.5330,5433775242.4180,9631392830.0514,2015-01-11,07:20:42,2014-12-08 06:24:18,true,1981.36437,1981.36437,1981.36437,1981.36437
FI3661374147748547,-596361890,-4080509116370386944,-6063450425.8633,,6429462255.9100,,10:26:03,2014-10-02 14:51:20,true,1984.4715,1984.4715,1984.4715,1984.4715
